Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword
A1000,DataAnalytics,104,4498,$231.88 ,14,7,0.058,"$1,892 ",11/16/2024,Hyderabad,Desktop,Learn Data Analytics
A1001,DataAnalytics,173,5107,$216.84 ,10,8,0.046,"$1,679 ",20-11-2024,Hyderabad,Mobile,Data Analytics Course
A1002,Data analytics ,90,4544,$203.66 ,26,9,NA,"$1,624 ",11/16/2024,Hyderabad,Desktop,Data Analitics Online
A1003,Data Analytcis ,142,3185,$237.66 ,17,6,NA,"$1,225 ",11/26/2024,Hyderabad,Tablet,Data Anaytics Training
A1004,Data Analytics ,156,3361,$195.90 ,30,8,NA,"$1,091 ",11/22/2024,Hyderabad,Desktop,Online Data Analytic
A1005,DataAnalytics,195,3776,$243.57 ,10,8,NA,"$1,315 ",16-11-2024,Hyderabad,Mobile,Data Anaytics Training
A1006,Data Analytics ,116,4480,$237.79 ,17,5,0.043,"$1,640 ",6/11/2024,Hyderabad,Tablet,Data Analytics Course
A1007,Data Analytics ,184,5060,$229.61 ,23,3,0.016,"$1,509 ",11/24/2024,Hyderabad,Tablet,Analytics For Data
A1008,Data Analytics ,113,5434,NA,27,4,0.058,"$1,362 ",11/24/2024,Hyderabad,Tablet,Data Anaytics Training
A1009,Data Analytcis ,166,3355,$186.78 ,24,9,0.054,"$1,029 ",11/12/2024,Hyderabad,Mobile,Online Data Analytic
A1010,DataAnalytics,101,5399,$236.79 ,20,6,0.059,"$1,900 ",14-11-2024,Hyderabad,Desktop,Learn Data Analytics
A1011,Data Analytics ,101,3613,$208.12 ,24,5,0.05,"$1,130 ",11/22/2024,Hyderabad,Desktop,Online Data Analytic
A1012,Data Analytcis ,125,3259,$191.30 ,18,3,0.024,"$1,959 ",11/27/2024,Hyderabad,Desktop,Data Analitics Online
A1013,Data Analytics ,196,3742,$207.46 ,10,7,0.038,"$1,623 ",12/11/2024,Hyderabad,Mobile,Data Anaytics Training
A1014,Data Analytcis ,181,4311,$185.09 ,11,9,0.05,"$1,538 ",11/4/2024,Hyderabad,Desktop,Data Anaytics Training
A1015,Data Analytcis ,102,5461,$201.69 ,22,8,0.078,"$1,755 ",11/29/2024,Hyderabad,Desktop,Data Analytics Course
A1016,Data Analytcis ,193,5159,NA,15,9,0.047,"$1,614 ",11/10/2024,Hyderabad,Mobile,Learn Data Analytics
A1017,Data analytics ,149,4431,$207.40 ,19,9,0.06,"$1,693 ",12/11/2024,Hyderabad,Mobile,Learn Data Analytics
A1018,Data Analytics ,150,3113,$217.41 ,20,5,NA,"$1,785 ",11/7/2024,Hyderabad,Mobile,Analytics For Data
A1019,Data Analytcis ,145,5278,NA,25,6,0.041,"$1,516 ",11/5/2024,Hyderabad,Desktop,Data Analytics Course
A1020,Data Analytcis ,184,4143,$223.30 ,10,10,0.044,"$1,735 ",11/21/2024,Hyderabad,Tablet,Learn Data Analytics
